"12 Angry Men (1957)"	["Star Wars (1977)", 0.9896826208497256, 87]
"2001: A Space Odyssey (1968)"	["Apollo 13 (1995)", 0.9868611454033845, 88]
"2001: A Space Odyssey (1968)"	["When Harry Met Sally... (1989)", 0.9868971431828573, 83]
"2001: A Space Odyssey (1968)"	["Dead Poets Society (1989)", 0.9873847883692988, 81]
"2001: A Space Odyssey (1968)"	["Monty Python and the Holy Grail (1974)", 0.9875163310935904, 109]
"2001: A Space Odyssey (1968)"	["Toy Story (1995)", 0.9876368992813415, 83]
"2001: A Space Odyssey (1968)"	["Back to the Future (1985)", 0.9881361028968616, 88]
"2001: A Space Odyssey (1968)"	["Amadeus (1984)", 0.9883122954651706, 105]
"2001: A Space Odyssey (1968)"	["Alien (1979)", 0.98856778447667, 106]
"2001: A Space Odyssey (1968)"	["Terminator 2: Judgment Day (1991)", 0.9887238008416039, 88]
"2001: A Space Odyssey (1968)"	["Silence of the Lambs, The (1991)", 0.9889200982140909, 133]
"2001: A Space Odyssey (1968)"	["Jaws (1975)", 0.9889268303913038, 85]
"2001: A Space Odyssey (1968)"	["Indiana Jones and the Last Crusade (1989)", 0.9889427056141564, 83]
"2001: A Space Odyssey (1968)"	["Graduate, The (1967)", 0.9891563402146232, 99]
"2001: A Space Odyssey (1968)"	["Raiders of the Lost Ark (1981)", 0.9892287023010848, 141]
"2001: A Space Odyssey (1968)"	["Brazil (1985)", 0.9892528466672269, 87]
"2001: A Space Odyssey (1968)"	["Empire Strikes Back, The (1980)", 0.9893025762089277, 118]
"2001: A Space Odyssey (1968)"	["E.T. the Extra-Terrestrial (1982)", 0.9893198075962863, 88]
"2001: A Space Odyssey (1968)"	["Shawshank Redemption, The (1994)", 0.9894439398453417, 105]
"2001: A Space Odyssey (1968)"	["Twelve Monkeys (1995)", 0.989449068576243, 91]
"2001: A Space Odyssey (1968)"	["Princess Bride, The (1987)", 0.9894594958479661, 99]
"2001: A Space Odyssey (1968)"	["Schindler's List (1993)", 0.9894785914943295, 99]
"2001: A Space Odyssey (1968)"	["Terminator, The (1984)", 0.9894896115383407, 98]
"2001: A Space Odyssey (1968)"	["Apocalypse Now (1979)", 0.9895177122606631, 96]
"2001: A Space Odyssey (1968)"	["Pulp Fiction (1994)", 0.9896509685573597, 116]
"2001: A Space Odyssey (1968)"	["Return of the Jedi (1983)", 0.9898070125700436, 109]
"2001: A Space Odyssey (1968)"	["Aliens (1986)", 0.9898369585747213, 92]
"2001: A Space Odyssey (1968)"	["Blade Runner (1982)", 0.9898420074385621, 111]
"2001: A Space Odyssey (1968)"	["Psycho (1960)", 0.989897039455264, 88]
"2001: A Space Odyssey (1968)"	["Clockwork Orange, A (1971)", 0.98994708994709, 90]
"2001: A Space Odyssey (1968)"	["To Kill a Mockingbird (1962)", 0.9899548662358988, 82]
"2001: A Space Odyssey (1968)"	["Fugitive, The (1993)", 0.9900135715636426, 93]
"2001: A Space Odyssey (1968)"	["Forrest Gump (1994)", 0.9901414523527063, 100]
"2001: A Space Odyssey (1968)"	["North by Northwest (1959)", 0.9902200779963258, 85]
"2001: A Space Odyssey (1968)"	["One Flew Over the Cuckoo's Nest (1975)", 0.9903166314969969, 103]
"2001: A Space Odyssey (1968)"	["Godfather, The (1972)", 0.9903914864653608, 112]
"2001: A Space Odyssey (1968)"	["Braveheart (1995)", 0.9906714534594708, 89]
"2001: A Space Odyssey (1968)"	["Usual Suspects, The (1995)", 0.9906970780476353, 94]
"2001: A Space Odyssey (1968)"	["Rear Window (1954)", 0.9912380285673774, 84]
"2001: A Space Odyssey (1968)"	["Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)", 0.9912396668838293, 90]
"2001: A Space Odyssey (1968)"	["Fargo (1996)", 0.9912543819836281, 116]
"2001: A Space Odyssey (1968)"	["Wizard of Oz, The (1939)", 0.9912858420262122, 86]
"2001: A Space Odyssey (1968)"	["Casablanca (1942)", 0.9913780731888499, 104]
"2001: A Space Odyssey (1968)"	["Citizen Kane (1941)", 0.9917790736823155, 90]
"2001: A Space Odyssey (1968)"	["Star Wars (1977)", 0.9921245860826803, 146]
